question,target,response,ans_tok,tok_prob,seq_prob,extracted_answer,extracted_ans_tok,extracted_seq_prob,infosel_logit,prom46_score,extracted_prom46_score
total number of death row inmates in the us,"'2,718'","3,600 
","['3', ',', '6', '0', '0', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.11686516132543394, 0.9468663394336868, 0.05223862341530172, 0.7229602835355952, 0.97722456047638, 0.94227003722301, 0.9991150587988575, 0.9997347105325705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.4989922046661377,"3,600","['3', ',', '6', '0', '0']",0.3328241684254074,0.0,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that there are 2,718 death row inmates in the US, while the response states that there are 3,600. This discrepancy indicates that the response is incorrect and does not meet the criteria for a score of 1. Therefore, the response receives a score of 0. [RESULT] 0'}",0.0
big little lies season 2 how many episodes,'seven',"7 
","['7', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9745804882385417, 0.8789793547028287, 0.9969112015638943, 0.9995954481842128, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9612122774124146,7,['7'],0.9745804882385418,0.0,"{1: '\n        The response and reference answer are semantically equivalent, as both indicate the number of episodes in Big Little Lies Season 2 is seven. The response is concise and accurate, meeting the requirements of the instruction. Therefore, the response deserves a score of 1. [RESULT] 1'}",1.0
who sang waiting for a girl like you,'Foreigner',"Jason Mraz 
","['Jason', ' M', 'raz', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.10862943474644349, 0.9749445324631358, 0.993660130631397, 0.8710126650333396, 0.9980827444169547, 0.9998218138652966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6712431311607361,Jason Mraz,"['Jason', 'M', 'raz']",0.4721229341037294,0.0,"{0: ""\n        The response provided by the system is incorrect. The correct answer to the instruction is 'Foreigner', which is the band that sang 'Waiting for a Girl Like You'. The system's response, Jason Mraz, is a different artist who did not sing the song in question. Therefore, the response and reference answer are not semantically equivalent, and the system's response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
where do you cross the arctic circle in norway,'Saltfjellet',"Longyearbyen 
","['Long', 'year', 'byen', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.07290594379801939, 0.9608067814866977, 0.9836740462206456, 0.7884264986041315, 0.9972648533846978, 0.9996330892719475, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6150972247123718,Longyearbyen,"['Long', 'year', 'byen']",0.4099681042546319,0.0,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer is 'Saltfjellet', which is a mountain range in Norway where the Arctic Circle can be crossed. The response provided, 'Longyearbyen', is a town located on the island of Spitsbergen in the Svalbard archipelago, which is also in Norway but not directly related to crossing the Arctic Circle. Therefore, the response does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
who is the main character in green eggs and ham,'Sam-I-am',"Sam-I-Am 
","['Sam', '-', 'I', '-', 'Am', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.6346763907471663, 0.7195868947949118, 0.997750822456222, 0.9588830407246215, 0.9285791955356697, 0.7767284255041329, 0.9989687121793501, 0.9998676952019036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.8654674887657166,Sam-I-Am,"['Sam', '-', 'I', '-', 'Am']",0.83492690083163,0.0,"{1: ""\n        The response 'Sam-I-Am' is semantically equivalent to the reference answer 'Sam-I-am', which means they have the same meaning. The difference in capitalization does not affect the meaning of the response. Therefore, the response meets the criteria for a score of 1. [RESULT] 1""}",1.0
do veins carry blood to the heart or away,'to',"Away 
","['Away', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9659440726061382, 0.8394070017325925, 0.9996102183885787, 0.9999213280559782, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9488121867179872,Away,['Away'],0.9659440726061383,0.0,"{0: '\n        The response ""Away"" does not match the reference answer ""to"". The instruction asks whether veins carry blood to the heart or away from it. The reference answer correctly states that veins carry blood ""to"" the heart, while the response incorrectly states that veins carry blood ""away"" from the heart. Therefore, the response and reference answer are not semantically equivalent, and the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
who played charlie bucket in the original charlie and the chocolate factory,'Peter Gardner[4] Ostrum',"Freddie Highmore 
","['Freddie', ' High', 'more', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.6330401765323226, 0.9921355188170655, 0.9962516195425251, 0.9121142488869941, 0.998976088001116, 0.9998104931453706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.9105746746063232,Freddie Highmore,"['Freddie', 'High', 'more']",0.8553104352402487,0.0,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer states that Peter Gardner Ostrum played Charlie Bucket in the original Charlie and the Chocolate Factory, while the response provided is Freddie Highmore. These two answers are not the same person, and therefore, the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
what is 1 radian in terms of pi,'1/2π',"1/180π 
","['1', '/', '1', '8', '0', 'π', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.6869108810265359, 0.5898519132480071, 0.7339812595537828, 0.998529454111671, 0.9999181099254704, 0.20690784617081354, 0.9361449885378256, 0.9945557117413621, 0.9995693631612473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.7276338338851929,1180π,"['1', '1', '8', '0', 'π']",0.6361177706790574,0.0,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer correctly states that 1 radian is equal to 1/2π, while the response provided states that 1 radian is equal to 1180π. This is incorrect, as 1 radian is approximately equal to 0.174533π, not 1180π. Therefore, the response does not meet the criteria for a score of 1, as it is not semantically equivalent to the reference answer. [RESULT] 0'}",0.0
when does season 5 of bates motel come out,"'February 20, 2017'","TBA 
","['TBA', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.02712545647884853, 0.8505385223019881, 0.9971147815595403, 0.9994139531844797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3893950283527374,TBA,['TBA'],0.0271254564788485,0.0,"{0: '\n        The response ""TBA"" does not provide a specific date for the release of season 5 of Bates Motel, while the reference answer gives a specific date of February 20, 2017. Therefore, the response and reference answer are not semantically equivalent, and the response does not meet the criteria for a score of 1. [RESULT] 0'}",0.0
how many episodes are in series 7 game of thrones,'seven',73,"['7', '3', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.9618594417679022, 0.661139390193744, 0.050799542254287795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.318484365940094,73,"['7', '3']",0.797447907253211,0.0,"{0: ""\n        The response provided is not semantically equivalent to the reference answer. The reference answer is a word, 'seven', which is the correct number of episodes in series 7 of Game of Thrones. However, the response provided is a number, '73', which is incorrect. The response does not match the reference answer, and therefore, it does not meet the criteria for a score of 1. [RESULT] 0""}",0.0
who is next in line to be the monarch of england,"'Charles, Prince of Wales'","Prince William. 
","['Prince', ' William', '.', ' ', '\n', '<end_of_turn>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>', '<pad>']","[0.6655062692752497, 0.9809496965149587, 0.0814660560062802, 0.9908327446430516, 0.9994655129741981, 0.9997903548262455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.6122218370437622,Prince William.,"['Prince', 'William', '.']",0.3760611991401021,0.0,"{0: '\n        The response provided is not semantically equivalent to the reference answer. The reference answer correctly identifies Charles, Prince of Wales as the next in line to be the monarch of England, while the response provided incorrectly identifies Prince William. This discrepancy results in a score of 0. [RESULT] 0'}",0.0
